id,performed_move_id,t1_millis,t2_millis,t3_millis,question_one,question_two,question_three,session_id
310,14224,1664937608461,1664937613038,1664937625576,1,1,1,11126
309,14223,1664937592076,1664937596650,1664937602917,1,1,1,11126
308,14223,1664937547175,1664937575761,1664937583023,0,0,0,11126
307,14221,1664937474750,1664937490826,1664937535433,0,0,0,11126
306,14220,1664937413737,1664937421250,1664937452943,2,2,2,11126
305,14219,1664937369903,1664937376338,1664937397666,1,1,1,11126
304,14218,1664937343341,1664937348861,1664937355100,1,1,1,11126
303,14217,1664937313384,1664937325871,1664937338529,1,1,1,11126
302,14217,1664937234618,1664937254689,1664937293817,2,2,2,11126
301,14215,1664937186533,1664937193879,1664937223907,1,1,2,11126
385,14300,1664942264012,1664942268583,1664942274181,1,1,1,11127
384,14299,1664942245101,1664942249677,1664942254756,1,1,1,11127
383,14298,1664942215001,1664942229510,1664942235373,2,2,2,11127
382,14297,1664942179622,1664942184193,1664942189168,1,1,1,11127
381,14297,1664942142539,1664942157462,1664942168112,0,0,0,11127
380,14295,1664942095211,1664942099782,1664942105158,1,1,1,11127
379,14294,1664942065359,1664942080021,1664942086882,0,2,2,11127
378,14293,1664942023742,1664942029017,1664942044224,1,1,1,11127
377,14292,1664941987596,1664941995493,1664942001345,1,1,1,11127
376,14291,1664941963678,1664941968248,1664941973172,1,1,1,11127
375,14291,1664941929564,1664941947048,1664941956116,2,2,2,11127
374,14289,1664941891967,1664941896551,1664941903190,1,1,1,11127
373,14288,1664941870090,1664941875376,1664941884396,1,1,1,11127
372,14287,1664941835830,1664941843727,1664941850588,1,1,1,11127
371,14286,1664941801040,1664941814242,1664941822726,2,2,2,11127
370,14285,1664941768306,1664941772877,1664941778606,1,1,1,11127
369,14284,1664941737749,1664941752538,1664941759264,2,2,2,11127
368,14283,1664941675433,1664941691455,1664941708722,2,2,2,11127
367,14282,1664941630331,1664941634904,1664941644872,1,1,1,11127
366,14281,1664941596820,1664941609076,1664941620822,2,2,2,11127
365,14280,1664941548884,1664941564105,1664941570451,2,2,2,11127
364,14279,1664941494547,1664941499120,1664941505232,1,1,1,11127
363,14278,1664941476040,1664941480613,1664941486338,1,1,1,11127
362,14277,1664941440275,1664941456291,1664941467755,1,1,2,11127
361,14276,1664941406914,1664941411487,1664941418039,1,1,1,11127
360,14275,1664941377507,1664941382442,1664941396188,1,1,1,11127
359,14274,1664941328769,1664941347961,1664941354729,1,1,1,11127
358,14273,1664941303271,1664941307850,1664941313434,1,1,1,11127
357,14272,1664941283540,1664941288114,1664941293726,2,2,2,11127
356,14271,1664941259459,1664941268905,1664941274556,2,2,2,11127
355,14270,1664941221385,1664941235109,1664941243738,2,2,2,11127
354,14269,1664941178376,1664941182949,1664941188371,1,1,1,11127
353,14268,1664941145860,1664941160981,1664941168470,2,2,2,11127
352,14267,1664941089317,1664941104744,1664941114971,2,2,2,11127
351,14266,1664941043379,1664941047955,1664941053454,1,1,1,11127
350,14265,1664941014071,1664941028080,1664941034888,2,2,2,11127
349,14264,1664940958103,1664940975137,1664940985291,2,2,2,11127
348,14263,1664940905078,1664940875859,1664940928688,2,2,2,11127
347,14262,1664940871287,1664940875859,1664940881581,1,1,1,11127
346,14261,1664940833395,1664940858825,1664940865970,2,2,2,11127
345,14260,1664940793844,1664940810754,1664940817790,2,2,2,11127
344,14259,1664940754242,1664940770256,1664940776603,2,2,2,11127
343,14258,1664940715792,1664940729543,1664940736271,2,2,2,11127
342,14257,1664940681271,1664940706488,1664940698604,2,2,2,11127
341,14256,1664940655912,1664940660488,1664940667658,1,1,1,11127
340,14255,1664940641404,1664940648553,1664940650595,1,1,1,11127
339,14254,1664940623295,1664940628845,1664940635019,1,1,1,11127
433,14348,1664946162512,1664946173798,1664946180377,2,0,0,11133
432,14347,1664946114992,1664946127070,1664946139684,2,2,2,11133
431,14346,1664946054051,1664946069654,1664946081899,2,2,2,11133
430,14345,1664945993363,1664946005984,1664946017686,2,2,2,11133
429,14344,1664945938221,1664945954182,1664945960328,2,2,2,11133
428,14343,1664945872911,1664945885071,1664945905202,2,2,2,11133
427,14342,1664945802823,1664945818509,1664945839036,2,2,2,11133
426,14341,1664945743915,1664945754826,1664945774661,2,2,2,11133
425,14340,1664945681977,1664945713546,1664945721331,2,2,2,11133
424,14339,1664945628498,1664945642648,1664945648638,2,2,2,11133
423,14338,1664945564414,1664945585030,1664945606894,2,2,2,11133
422,14337,1664945511447,1664945516025,1664945543068,1,0,0,11133
421,14337,1664945466695,1664945477575,1664945499340,2,0,1,11133
420,14335,1664945404824,1664945429671,1664945437226,2,2,2,11133
419,14334,1664945362865,1664945375660,1664945380742,1,0,0,11133
418,14333,1664945326500,1664945337781,1664945344245,1,0,0,11133
417,14332,1664945278744,1664945294498,1664945308709,2,2,2,11133
416,14331,1664945224367,1664945244081,1664945252955,2,2,2,11133
415,14330,1664945160218,1664945171064,1664945188847,2,2,2,11133
414,14329,1664945096847,1664945104605,1664945126587,2,2,2,11133
413,14328,1664945053275,1664945069319,1664945077811,2,2,2,11133
412,14327,1664944974205,1664944991852,1664945028576,2,2,2,11133
411,14326,1664944921895,1664944938881,1664944952910,2,2,2,11133
410,14325,1664944851952,1664944888731,1664944894646,1,1,2,11133
409,14324,1664944805979,1664944817559,1664944826594,1,0,0,11133
408,14323,1664944764745,1664944776337,1664944787722,1,0,0,11133
407,14322,1664944729857,1664944732746,1664944746005,1,2,2,11133
406,14321,1664944679197,1664944690779,1664944710432,1,0,0,11133
405,14320,1664944645182,1664944649208,1664944660686,1,2,1,11133
404,14320,1664944623946,1664944635220,1664944641894,1,0,0,11133
403,14319,1664944566948,1664944581891,1664944605859,2,2,2,11133
402,14318,1664944526219,1664944537809,1664944546979,1,0,0,11133
401,14317,1664944484591,1664944495858,1664944510564,1,0,0,11133
400,14316,1664944436435,1664944454454,1664944466526,2,2,2,11133
399,14315,1664944367450,1664944388662,1664944420075,2,2,2,11133
398,14314,1664944317951,1664944332363,1664944341555,2,2,2,11133
397,14313,1664944271783,1664944283048,1664944297317,1,0,0,11133
396,14312,1664944234077,1664944248990,1664944257091,1,0,0,11133
395,14311,1664944199135,1664944204731,1664944211474,1,0,0,11133
394,14311,1664944175104,1664944178965,1664944191575,1,2,2,11133
